\This is a comment.
\ c starts the definision of a new color, color 1, color 2 etc.
\ : means "define as".
\ 0 is already defined as blank.
\ ! is already defined as spawn.
\ ? is already defined as goal.
\ = defines the end of the definision phase.
c:-
c:+
=
\					  FIRST LAYER											  SECOND LAYER
\123456789|123456789|123456789|123456789|123456789|1234   123456789|123456789|123456789|123456789|123456789|1234
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 00000000000000-------000000000000-------00000000000000 | 000000000000000000000000000000000000000000000000000000
 00000000000000-00000-000000000000-00000-00000000000000 | 000000000000000000000000000000000000000000000000000000
 00000000000000-00!00-000000000000-00000-00000000000000 | 000000000000000000000000000000000000000000000000000000
 00000000000000-00000-000000000000-00?00-00000000000000 | 000000000000000000000000000000000000000000000000000000
 00000000000000-00000-000000000000-00000-00000000000000 | 000000000000000000000000000000000000000000000000000000
 00000000000000-------000000000000-------00000000000000 | 0000000000000000000000000000000000+++++000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000++++++000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000------000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 00000000000++++++++++++++++++++++++++++++++00000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
